actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
209,597,3.9425423,35,105,1,0,0.3523854
230,657,0.67622125,37,111,46,2.0254220962524414,0.4917711
242,693,0.602303,39,117,65,3.6932053565979004,0.48556587
252,722,0.45955443,41,123,87,4.910489082336426,0.4977565
267,767,0.55498934,43,129,96,6.037844181060791,0.47266394
276,791,0.65629315,45,135,110,7.192282438278198,0.49194187
286,819,0.6718794,47,141,126,8.296595573425293,0.48472986
302,862,0.523833,49,147,135,9.472823143005371,0.48749048
316,901,0.54254305,51,153,150,10.82450008392334,0.47900018
335,960,0.5271809,55,165,169,12.14636778831482,0.49553755
345,987,0.6143527,55,165,189,13.647277355194092,0.47443762
357,1023,0.49521565,57,171,206,14.85507607460022,0.47280446
373,1071,0.6459536,59,177,223,15.962573289871216,0.47714713
380,1090,0.62853247,61,183,237,17.191001892089844,0.48764277
395,1130,0.5744728,63,189,252,18.43837261199951,0.47462156
420,1201,0.5450411,65,195,269,19.739304065704346,0.48464215
433,1234,0.50050986,67,201,283,21.056801795959473,0.46004435
439,1251,0.5359802,69,207,295,22.226092100143433,0.48517412
450,1285,0.5070413,71,213,310,23.399884939193726,0.48111352
462,1317,0.5620814,73,219,322,24.526047468185425,0.47962168
475,1355,0.5691806,75,225,335,25.648202896118164,0.4922368
486,1387,0.4059595,75,225,351,26.91408061981201,0.49082902
495,1412,0.5406589,77,231,369,28.196235179901123,0.4684679
519,1479,0.55718917,81,243,383,29.418620824813843,0.4873236
528,1499,0.52420986,83,249,397,30.553882360458374,0.45619273
536,1525,0.575562,85,255,412,32.007973432540894,0.41705924
549,1563,0.5940285,87,261,428,33.12854814529419,0.4814167
561,1593,0.5153749,87,261,443,34.26183247566223,0.47817206
575,1636,0.5776708,91,273,455,35.49489426612854,0.46463385
586,1670,0.41043594,91,273,472,36.69894981384277,0.47559965
600,1708,0.59661305,93,279,486,37.946415185928345,0.41466206
610,1737,0.5024899,95,285,503,39.23042345046997,0.45024273
635,1809,0.44203776,99,297,525,40.517597675323486,0.4788794
651,1855,0.53705907,101,303,541,41.729164600372314,0.46257228
661,1882,0.5502702,103,309,558,43.15994715690613,0.48948956
676,1923,0.5420128,105,315,571,44.84677457809448,0.4765857
684,1945,0.5208755,107,321,586,46.055734395980835,0.4785328
707,2009,0.48970723,109,327,603,47.24020171165466,0.48448765
720,2049,0.5149214,111,333,621,48.42185115814209,0.48637024
727,2071,0.575661,113,339,632,49.52807664871216,0.47863185
739,2105,0.55357265,115,345,645,50.64074635505676,0.4693405
747,2127,0.4053567,117,351,660,51.83864641189575,0.47712153
760,2164,0.50923467,117,351,676,53.00762414932251,0.4767587
772,2200,0.47067258,119,357,690,54.16768145561218,0.48567754
787,2241,0.39109123,121,363,702,55.474223136901855,0.4839545
799,2273,0.5022022,123,369,721,56.65021085739136,0.49253178
812,2309,0.44760424,125,375,738,57.815112829208374,0.48268348
825,2347,0.5337765,127,381,753,58.920822620391846,0.48361504
834,2372,0.5167972,127,381,764,60.0680627822876,0.4553573
851,2416,0.46451426,129,387,779,61.2546660900116,0.46150196
860,2440,0.46310088,131,393,790,62.37977933883667,0.45133466
874,2480,0.5079017,133,399,806,63.608667612075806,0.47259095
893,2535,0.49439046,137,411,820,64.8495991230011,0.4668169
906,2574,0.5653107,139,417,838,65.98841428756714,0.4640904
921,2617,0.37397057,141,423,853,67.16623616218567,0.4827234
935,2654,0.49751467,143,429,867,68.36329340934753,0.45993754
947,2689,0.56496507,145,435,885,69.6126971244812,0.4627627
957,2718,0.5533846,147,441,900,70.8935158252716,0.45178962
972,2759,0.6689196,149,447,912,71.99697923660278,0.48702955
981,2783,0.4727083,151,453,925,73.29678583145142,0.4921089
990,2807,0.4971548,151,453,937,74.43877649307251,0.4998302
1002,2839,0.42898774,154,462,955,75.63145399093628,0.48913938
1015,2875,0.52585727,156,468,964,76.73850512504578,0.4814676
1025,2902,0.60250896,158,474,979,77.85861301422119,0.49525088
1036,2935,0.49788773,160,480,992,79.06484651565552,0.48815894
1048,2968,0.48365015,162,486,1006,80.37050461769104,0.49116313
1071,3029,0.4343054,164,492,1021,81.90981912612915,0.48649585
1085,3066,0.43974784,166,498,1039,83.17469620704651,0.4864989
1098,3105,0.50557005,169,507,1054,84.32064437866211,0.49005455
1109,3136,0.5364254,169,507,1069,85.49594688415527,0.48593926
1116,3156,0.40675965,171,513,1087,86.66670370101929,0.48768198
1131,3204,0.66511124,173,519,1101,87.89605808258057,0.46545833
1153,3268,0.44085562,177,531,1117,89.31412959098816,0.47374904
1162,3292,0.5329857,177,531,1132,90.41614866256714,0.48961523
1175,3330,0.5131803,179,537,1145,91.5849347114563,0.46276966
1183,3352,0.6865394,181,543,1158,92.78148531913757,0.48741376
1198,3393,0.4438884,183,549,1175,94.03857469558716,0.48891747
1212,3433,0.4489919,185,555,1191,95.33826899528503,0.49682182
